"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"acer","Aspire","AMD","Athlon Dual","10th",4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,1,"No","No",387.43,447.98,13,4.2,76,13
"acer","Aspire","AMD","Dual Core","10th",4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,1,"No","No",363.21,423.76,14,0,0,0
"acer","Aspire","AMD","Ryzen","10th",4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.6,0,"No","No",665.98,1077.87,38,4.5,3190,414
"acer","Aspire","AMD","Ryzen 3","10th",4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,0,"No","No",423.76,520.76,18,0,0,0
"acer","Aspire","AMD","Ryzen 3","10th",8,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,1,"No","No",447.98,544.98,17,4.6,11,2
"acer","Aspire","AMD","Ryzen 5","11th",4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,1,"No","No",544.87,690.2,21,4.4,313,39
"acer","Aspire","AMD","Ryzen 5","11th",4,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,1,"No","No",605.43,883.98,31,4.4,47,6
"acer","Aspire","AMD","Ryzen 5","11th",4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,1,"No","No",605.43,787.09,23,4.5,6,1
"acer","Aspire","AMD","Ryzen 5","11th",4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,1,"No","No",920.42,0,0,0,0,0
"acer","Aspire","AMD","Ryzen 5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"Casual",15.6,1,"No","No",532.76,641.87,16,0,0,0
"acer","Aspire","AMD","Ryzen 7","11th",4,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,1,"No","No",726.54,968.86,25,0,0,0
"acer","Aspire","Intel","Core i3","11th",8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.6,1,"No","No",472.21,641.87,26,0,0,0
"acer","Aspire","Intel","Core i5","10th",8,"DDR4",0,1024,"Windows","64-bit",2,"Casual",15.6,1,"No","No",684.16,0,0,3.2,30,6
"acer","Aspire","Intel","Core i5","11th",8,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,"No","No",605.43,799.31,24,0,0,0
"acer","Aspire","Intel","Core i5","11th",8,"DDR4",0,1024,"Windows","64-bit",0,"ThinNlight",14,1,"No","No",569.09,690.31,17,3.8,253,28
"acer","Aspire","Intel","Core i5","11th",8,"DDR4",256,1024,"Windows","64-bit",0,"Casual",15.6,1,"No","No",702.31,847.75,17,4.6,32,1
"acer","Aspire","Intel","Core i5","11th",8,"DDR4",256,1024,"Windows","64-bit",0,"ThinNlight",15.6,1,"No","No",690.2,787.2,12,4,27,2
"acer","Aspire","Intel","Core i5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"Casual",14,1,"No","No",702.31,787.21,10,0,0,0
"acer","Aspire","Intel","Core i5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",14,1,"No","No",678.2,920.42,26,4.5,6,0
"acer","Aspire","Intel","Core i5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,1,"No","No",641.76,920.42,30,4.2,155,20
"acer","Aspire","Intel","Core i5","8th",8,"DDR4",0,1024,"Windows","64-bit",0,"ThinNlight",15.6,1,"No","No",746,0,0,0,0,0
"acer","Aspire","Intel","Core i5","8th",8,"DDR4",0,1024,"Windows","64-bit",2,"Casual",14,1,"No","Yes",726.64,757.07,4,4.1,118,28
"acer","Aspire","Intel","Core i5","8th",8,"DDR4",0,1024,"Windows","64-bit",2,"ThinNlight",14,1,"No","No",750.76,757.53,0,4.1,73,21
"acer","Aspire","Intel","Core i5","11th",8,"DDR5",0,512,"Windows","32-bit",4,"Casual",15.6,0,"No","No",617.54,1089.97,43,4.4,10966,1185
"acer","Chromebook","Intel","Celeron Dual","10th",4,"DDR4",0,512,"Windows","32-bit",0,"Casual",15.6,0,"No","No",290.54,327,11,3.3,61,4
"acer","ConceptD","Intel","Core i5","8th",8,"DDR4",512,0,"Windows","64-bit",4,"Casual",16,1,"No","No",1205.04,1453.3,17,0,0,0
"acer","Dual","AMD","Dual Core","10th",4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,1,"No","No",387.43,399.54,3,4,762,104
"acer","Extensa","Intel","Pentium Quad","10th",4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,1,"No","No",375.32,423.76,11,4.2,465,89
"acer","Intel","Intel","Core i5","11th",8,"DDR4",512,0,"Windows","64-bit",0,"ThinNlight",15.6,0,"Yes","No",1332.19,0,0,0,0,0
"acer","Intel","Intel","Core i5","11th",8,"LPDDR4X",512,0,"Windows","64-bit",0,"ThinNlight",14,1,"No","Yes",738.65,1089.97,32,4.4,17,1
"acer","Apire","Intel","Core i3","11th",4,"DDR4",0,1024,"Windows","32-bit",0,"Casual",15.6,0,"No","No",448.09,544.99,17,0,0,0
"acer","Apire","Intel","Genuine Windows","10th",4,"DDR4",128,0,"DOS","32-bit",4,"Casual",15.6,0,"No","No",1412.62,0,0,0,0,0
"acer","Nitro","AMD","Ryzen 5","10th",4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.6,0,"No","No",726.54,1211.08,40,4.5,1946,240
