"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"acer","Aspire","AMD","Athlon Dual","10th",4,"DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",31990,36990,13,4.2,76,13
"acer","Aspire","AMD","Dual Core","10th",4,"DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",29990,34990,14,0.0,0,0
"acer","Aspire","AMD","Ryzen","10th",4,"DDR4","0 GB","512 GB","Windows","32-bit",4,"Casual","15.6",0,"No","No",54990,89000,38,4.5,3190,414
"acer","Aspire","AMD","Ryzen 3","10th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",0,"No","No",34990,42999,18,0.0,0,0
"acer","Aspire","AMD","Ryzen 3","10th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",36990,44999,17,4.6,11,2
"acer","Aspire","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",44990,56990,21,4.4,313,39
"acer","Aspire","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",49990,72990,31,4.4,47,6
"acer","Aspire","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",49990,64990,23,4.5,6,1
"acer","Aspire","AMD","Ryzen 5","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",75999,0,0,0.0,0,0
"acer","Aspire","AMD","Ryzen 5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",43990,52999,16,0.0,0,0
"acer","Aspire","AMD","Ryzen 7","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","No",59990,79999,25,0.0,0,0
"acer","Aspire","Intel","Core i3","11th",8,"DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",38990,52999,26,0.0,0,0
"acer","Aspire","Intel","Core i5","10th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",2,"Casual","15.6",1,"No","No",56491,0,0,3.2,30,6
"acer","Aspire","Intel","Core i5","11th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"Casual","15.6",0,"No","No",49990,65999,24,0.0,0,0
"acer","Aspire","Intel","Core i5","11th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","No",46990,56999,17,3.8,253,28
"acer","Aspire","Intel","Core i5","11th",8,"DDR4","256 GB","1024 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",57990,69999,17,4.6,32,1
"acer","Aspire","Intel","Core i5","11th",8,"DDR4","256 GB","1024 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",56990,64999,12,4.0,27,2
"acer","Aspire","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",1,"No","No",57990,65000,10,0.0,0,0
"acer","Aspire","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","No",55999,75999,26,4.5,6,0
"acer","Aspire","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",52990,75999,30,4.2,155,20
"acer","Aspire","Intel","Core i5","8th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",61597,0,0,0.0,0,0
"acer","Aspire","Intel","Core i5","8th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",2,"Casual","14",1,"No","Yes",59999,62511,4,4.1,118,28
"acer","Aspire","Intel","Core i5","8th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",2,"ThinNlight","14",1,"No","No",61990,62549,0,4.1,73,21
"acer","Aspire","Intel","Core i5","11th",8,"DDR5","0 GB","512 GB","Windows","32-bit",4,"Casual","15.6",0,"No","No",50990,89999,43,4.4,10966,1185
"acer","Chromebook","Intel","Celeron Dual","10th",4,"DDR4","0 GB","512 GB","Windows","32-bit",0,"Casual","15.6",0,"No","No",23990,27000,11,3.3,61,4
"acer","ConceptD","Intel","Core i5","8th",8,"DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","16",1,"No","No",99500,119999,17,0.0,0,0
"acer","Dual","AMD","Dual Core","10th",4,"DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",31990,32990,3,4.0,762,104
"acer","Extensa","Intel","Pentium Quad","10th",4,"DDR4","256 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",30990,34990,11,4.2,465,89
"acer","Intel","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",0,"Yes","No",109999,0,0,0.0,0,0
"acer","Intel","Intel","Core i5","11th",8,"LPDDR4X","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",60990,89999,32,4.4,17,1
"acer",,"Intel","Core i3","11th",4,"DDR4","0 GB","1024 GB","Windows","32-bit",0,"Casual","15.6",0,"No","No",36999,45000,17,0.0,0,0
"acer",,"Intel","Genuine Windows","10th",4,"DDR4","128 GB","0 GB","DOS","32-bit",4,"Casual","15.6",0,"No","No",116640,0,0,0.0,0,0
"acer","Nitro","AMD","Ryzen 5","10th",4,"DDR4","0 GB","512 GB","Windows","32-bit",4,"Casual","15.6",0,"No","No",59990,99999,40,4.5,1946,240
"acer","Nitro","AMD","Ryzen 5","10th",4,"DDR4","0 GB","512 GB","Windows","32-bit",4,"Casual","15.6",0,"No","No",72990,99999,27,4.5,425,67
"acer","Nitro","AMD","Ryzen 5","10th",4,"DDR4","0 GB","512 GB","Windows","32-bit",6,"Casual","16",0,"No","No",93700,139000,32,4.5,259,47
"acer","Nitro","AMD","Ryzen 7","11th",16,"DDR4","256 GB","1024 GB","Windows","64-bit",4,"Casual","15.6",0,"No","No",81990,119900,31,4.5,141,24
"acer","Nitro","AMD","Ryzen 7","11th",16,"DDR4","256 GB","1024 GB","Windows","64-bit",6,"Casual","15.6",1,"No","No",89990,119990,25,4.4,272,36
"acer","Predator","Intel","Core","11th",4,"DDR4","0 GB","512 GB","Windows","32-bit",0,"Casual","16",0,"No","No",99990,149999,33,4.5,1336,186
"acer","Predator","Intel","Core i7","10th",16,"DDR4","2048 GB","0 GB","Windows","64-bit",8,"Casual","16",1,"No","No",159990,160190,0,3.8,4,0
"acer","Predator","Intel","Core i7","10th",16,"DDR4","256 GB","1024 GB","Windows","64-bit",6,"Casual","16",1,"No","No",119990,140990,14,4.6,2038,313
"acer","Predator","Intel","Core i7","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",6,"Casual","16",1,"No","No",129990,149990,13,4.5,54,7
"acer","Predator","Intel","Core i7","11th",16,"DDR4","512 GB","1024 GB","Windows","32-bit",6,"Casual","15.6",1,"No","No",119990,140990,14,4.5,342,54
"acer","Predator","Intel","Core i7","11th",16,"DDR4","512 GB","1024 GB","Windows","64-bit",4,"Casual","15.6",1,"No","No",92990,130990,29,4.5,214,37
"acer","Predator","Intel","Core i9","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",6,"Casual","15.6",1,"No","No",139990,179999,22,0.0,0,0
"acer","Predator","Intel","Core i9","11th",32,"DDR4","1024 GB","0 GB","Windows","64-bit",8,"Casual","15.6",1,"No","No",169990,199999,15,0.0,0,0
"acer","Predator","Intel","Genuine Windows","10th",4,"DDR4","0 GB","512 GB","DOS","32-bit",4,"Casual","15.6",0,"No","No",129999,0,0,4.5,3227,693
"acer","Spin","Intel","Core i5","11th",8,"LPDDR4","0 GB","512 GB","Windows","32-bit",0,"Casual","16",1,"No","No",119990,124900,3,4.0,1,1
"acer","Swift","AMD","Ryzen 5","11th",8,"LPDDR4X","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","No",53990,89999,40,4.9,7,0
"acer","Swift","AMD","Ryzen 7","11th",4,"DDR4","1024 GB","0 GB","Windows","64-bit",4,"Casual","16",1,"No","No",99990,139999,28,0.0,0,0
"acer","Swift","Intel","Core i5","10th",8,"LPDDR4","0 GB","512 GB","DOS","32-bit",0,"Casual","16",0,"No","No",94190,124999,24,4.3,31,6
"acer","Swift","Intel","Core i5","7th",8,"DDR3","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","16",1,"No","Yes",86867,99999,13,4.4,39,3
"acer","Swift","Intel","Core i5","8th",8,"DDR3","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"Yes","Yes",81998,82799,0,4.0,14,3
"acer","Swift","Intel","Core i5","8th",8,"DDR3","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",64990,87999,26,3.8,4,1
"acer","Swift","Intel","Core i5","8th",8,"DDR4","0 GB","1024 GB","Windows","64-bit",2,"Casual","15.6",1,"No","No",72964,73199,0,4.2,18,6
"acer","Swift","Intel","Core i5","8th",8,"DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","13.3",1,"No","No",59490,65546,9,3.5,33,7
"acer","Travelmate","Intel","Core i3","11th",8,"DDR4","256 GB","1024 GB","Windows","64-bit",0,"Casual","14",0,"No","No",40990,60000,31,4.2,38,2
"acer","Travelmate","Intel","Core i5","11th",16,"DDR4","256 GB","1024 GB","Windows","64-bit",0,"Casual","14",0,"No","No",62490,85000,26,3.4,8,0
"acer","Travelmate","Intel","Core i5","11th",8,"DDR4","256 GB","1024 GB","Windows","64-bit",0,"Casual","14",0,"No","No",55490,60000,7,3.8,8,3
"ALIENWARE",,"Intel","GeForce GTX","10th",8,"LPDDR4","0 GB","512 GB","DOS","32-bit",6,"Casual","15.6",0,"No","No",199990,223322,10,4.9,12,0
"ALIENWARE",,"Intel","GeForce RTX","10th",8,"LPDDR4","0 GB","512 GB","DOS","32-bit",6,"Casual","15.6",0,"No","No",214790,237937,9,4.1,13,4
"ALIENWARE",,"Intel","GeForce RTX","10th",8,"LPDDR4","0 GB","512 GB","DOS","32-bit",8,"Casual","15.6",0,"No","No",269290,293080,8,4.0,5,2
"ALIENWARE",,"Intel","GeForce RTX","10th",8,"LPDDR4","0 GB","512 GB","DOS","32-bit",8,"Casual","15.6",0,"No","No",345390,377798,8,4.6,10,3
"APPLE","MacBook","Intel","Core i5","10th",16,"LPDDR4X","1024 GB","0 GB","Mac","64-bit",0,"Casual","13",1,"No","No",179990,194900,7,4.7,31,3
"APPLE","MacBook","Intel","Core i5","10th",16,"LPDDR4X","1024 GB","0 GB","Mac","64-bit",0,"Casual","13",1,"No","No",179990,194900,7,4.8,91,5
"APPLE","MacBook","Intel","Core i5","10th",8,"LPDDR4X","512 GB","0 GB","Mac","64-bit",0,"Casual","16",1,"No","No",159990,174900,8,4.4,32,5
